# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416271093;0.00;86.38;52703.37;0.00;123059.56;0.00;0.00;0.00;0.00
axle;60;1416271153;0.00;45.84;49619.90;0.00;50738.94;0.00;0.00;0.00;0.00
axle;60;1416271213;0.00;15.73;13996.75;0.00;39749.58;0.00;0.00;0.00;0.00
axle;60;1416271273;0.00;31.63;4748.20;0.00;31303.32;0.00;0.00;0.00;0.00
axle;60;1416271333;0.00;28.98;4569.00;0.00;30607.11;0.00;0.00;0.00;0.00
axle;60;1416271393;0.00;18.42;6707.84;0.00;43604.47;0.00;0.00;0.00;0.00
axle;60;1416271453;0.00;42.07;403.87;0.00;5652.79;0.00;0.00;0.00;0.00
axle;60;1416271513;0.00;104.56;46868.90;0.00;28462.09;0.00;0.00;0.00;0.00
axle;60;1416271573;0.00;106.04;604.90;0.00;55653.79;0.00;0.00;0.00;0.00
axle;60;1416271633;0.00;54.99;503.80;0.00;9846.28;0.00;0.00;0.00;0.00
axle;60;1416271693;0.00;25.72;405.24;0.00;21172.33;0.00;0.00;0.00;0.00
